"nut","Plot","type","val","extract"
"Calcium",328,"gm2_2017_0.20cm",132.5,"aa"
"Calcium",329,"gm2_2017_0.20cm",137.47,"aa"
"Calcium",330,"gm2_2017_0.20cm",128.81,"aa"
"Calcium",331,"gm2_2017_0.20cm",165.8,"aa"
"Calcium",334,"gm2_2017_0.20cm",72.09,"aa"
"Calcium",335,"gm2_2017_0.20cm",79.26,"aa"
"Calcium",336,"gm2_2017_0.20cm",186.11,"aa"
"Calcium",338,"gm2_2017_0.20cm",126.64,"aa"
"Calcium",339,"gm2_2017_0.20cm",190.36,"aa"
"Calcium",342,"gm2_2017_0.20cm",163.69,"aa"
"Calcium",2,"soil_rawdiffgm2_0.20cm",-1.66,"aa"
"Calcium",3,"soil_rawdiffgm2_0.20cm",-25.87,"aa"
"Calcium",5,"soil_rawdiffgm2_0.20cm",26.76,"aa"
"Calcium",6,"soil_rawdiffgm2_0.20cm",7.65,"aa"
"Calcium",9,"soil_rawdiffgm2_0.20cm",55.34,"aa"
"Calcium",11,"soil_rawdiffgm2_0.20cm",10.54,"aa"
"Calcium",12,"soil_rawdiffgm2_0.20cm",39.34,"aa"
"Calcium",14,"soil_rawdiffgm2_0.20cm",18.44,"aa"
"Calcium",15,"soil_rawdiffgm2_0.20cm",24.89,"aa"
"Calcium",16,"soil_rawdiffgm2_0.20cm",-4.55,"aa"
"Calcium",20,"soil_rawdiffgm2_0.20cm",-9.41,"aa"
"Calcium",22,"soil_rawdiffgm2_0.20cm",6.96,"aa"
"Calcium",24,"soil_rawdiffgm2_0.20cm",13.3,"aa"
"Calcium",26,"soil_rawdiffgm2_0.20cm",12.16,"aa"
"Calcium",27,"soil_rawdiffgm2_0.20cm",33.73,"aa"
"Calcium",28,"soil_rawdiffgm2_0.20cm",12.78,"aa"
"Calcium",29,"soil_rawdiffgm2_0.20cm",32.47,"aa"
"Calcium",30,"soil_rawdiffgm2_0.20cm",68.88,"aa"
"Calcium",31,"soil_rawdiffgm2_0.20cm",6.26,"aa"
"Calcium",33,"soil_rawdiffgm2_0.20cm",38.2,"aa"
"Calcium",34,"soil_rawdiffgm2_0.20cm",41.28,"aa"
"Calcium",35,"soil_rawdiffgm2_0.20cm",73.29,"aa"
"Calcium",44,"soil_rawdiffgm2_0.20cm",16.18,"aa"
"Calcium",45,"soil_rawdiffgm2_0.20cm",43.44,"aa"
"Calcium",46,"soil_rawdiffgm2_0.20cm",65.45,"aa"
"Calcium",48,"soil_rawdiffgm2_0.20cm",35.27,"aa"
"Calcium",50,"soil_rawdiffgm2_0.20cm",3.99,"aa"
"Calcium",53,"soil_rawdiffgm2_0.20cm",16.1,"aa"
"Calcium",56,"soil_rawdiffgm2_0.20cm",21.21,"aa"
"Calcium",57,"soil_rawdiffgm2_0.20cm",25.54,"aa"
"Calcium",58,"soil_rawdiffgm2_0.20cm",9.05,"aa"
"Calcium",62,"soil_rawdiffgm2_0.20cm",30.27,"aa"
"Calcium",67,"soil_rawdiffgm2_0.20cm",68.26,"aa"
"Calcium",68,"soil_rawdiffgm2_0.20cm",44.59,"aa"
"Calcium",69,"soil_rawdiffgm2_0.20cm",-3.44,"aa"
"Calcium",70,"soil_rawdiffgm2_0.20cm",78.76,"aa"
"Calcium",74,"soil_rawdiffgm2_0.20cm",38.22,"aa"
"Calcium",75,"soil_rawdiffgm2_0.20cm",7.83,"aa"
"Calcium",81,"soil_rawdiffgm2_0.20cm",31.61,"aa"
"Calcium",82,"soil_rawdiffgm2_0.20cm",62.17,"aa"
"Calcium",83,"soil_rawdiffgm2_0.20cm",77.57,"aa"
"Calcium",87,"soil_rawdiffgm2_0.20cm",11.39,"aa"
"Calcium",89,"soil_rawdiffgm2_0.20cm",50.63,"aa"
"Calcium",92,"soil_rawdiffgm2_0.20cm",-6.25,"aa"
"Calcium",93,"soil_rawdiffgm2_0.20cm",58.2,"aa"
"Calcium",94,"soil_rawdiffgm2_0.20cm",9.36,"aa"
"Calcium",98,"soil_rawdiffgm2_0.20cm",26.65,"aa"
"Calcium",104,"soil_rawdiffgm2_0.20cm",60.26,"aa"
"Calcium",107,"soil_rawdiffgm2_0.20cm",30.89,"aa"
"Calcium",108,"soil_rawdiffgm2_0.20cm",77.61,"aa"
"Calcium",109,"soil_rawdiffgm2_0.20cm",21.22,"aa"
"Calcium",110,"soil_rawdiffgm2_0.20cm",59.83,"aa"
"Calcium",111,"soil_rawdiffgm2_0.20cm",26.73,"aa"
"Calcium",115,"soil_rawdiffgm2_0.20cm",-3.32,"aa"
"Calcium",117,"soil_rawdiffgm2_0.20cm",58.51,"aa"
"Calcium",118,"soil_rawdiffgm2_0.20cm",12.03,"aa"
"Calcium",125,"soil_rawdiffgm2_0.20cm",25.83,"aa"
"Calcium",129,"soil_rawdiffgm2_0.20cm",23.88,"aa"
"Calcium",130,"soil_rawdiffgm2_0.20cm",28.52,"aa"
"Calcium",133,"soil_rawdiffgm2_0.20cm",13.34,"aa"
"Calcium",135,"soil_rawdiffgm2_0.20cm",0.53,"aa"
"Calcium",136,"soil_rawdiffgm2_0.20cm",50.99,"aa"
"Calcium",137,"soil_rawdiffgm2_0.20cm",16.68,"aa"
"Calcium",138,"soil_rawdiffgm2_0.20cm",15.65,"aa"
"Calcium",139,"soil_rawdiffgm2_0.20cm",26.82,"aa"
"Calcium",142,"soil_rawdiffgm2_0.20cm",18.15,"aa"
"Calcium",146,"soil_rawdiffgm2_0.20cm",22.65,"aa"
"Calcium",149,"soil_rawdiffgm2_0.20cm",30.48,"aa"
"Calcium",156,"soil_rawdiffgm2_0.20cm",40.14,"aa"
"Calcium",157,"soil_rawdiffgm2_0.20cm",13.81,"aa"
"Calcium",160,"soil_rawdiffgm2_0.20cm",78.5,"aa"
"Calcium",163,"soil_rawdiffgm2_0.20cm",10.75,"aa"
"Calcium",164,"soil_rawdiffgm2_0.20cm",29.22,"aa"
"Calcium",165,"soil_rawdiffgm2_0.20cm",1.99,"aa"
"Calcium",167,"soil_rawdiffgm2_0.20cm",7.78,"aa"
"Calcium",168,"soil_rawdiffgm2_0.20cm",-5.18,"aa"
"Calcium",169,"soil_rawdiffgm2_0.20cm",52.32,"aa"
"Calcium",170,"soil_rawdiffgm2_0.20cm",24.85,"aa"
"Calcium",171,"soil_rawdiffgm2_0.20cm",43.84,"aa"
"Calcium",174,"soil_rawdiffgm2_0.20cm",41.2,"aa"
"Calcium",175,"soil_rawdiffgm2_0.20cm",39.47,"aa"
"Calcium",176,"soil_rawdiffgm2_0.20cm",11.24,"aa"
"Calcium",177,"soil_rawdiffgm2_0.20cm",34.17,"aa"
