"Plot","NumSp","nut","type","val.g","mono","diff"
87,1,"Calcium","Root.0.30cm",1.67,4.1471875,-59.7317459121393
89,16,"Nitrogen","Abv",3.75,1.2978125,188.947748615459
89,16,"Potassium","Abv",3.57,0.8584375,315.871860211139
89,16,"Magnesium","Abv",0.76,0.3021875,151.499482936918
89,16,"Calcium","Abv",3.25,1.108125,193.288212069938
89,16,"Nitrogen","Root.0.30cm",7.3,4.388125,66.3580686511893
89,16,"Potassium","Root.0.30cm",3.55,1.6984375,109.015639374425
89,16,"Magnesium","Root.0.30cm",1.56,0.9275,68.1940700808625
89,16,"Calcium","Root.0.30cm",7.72,4.1471875,86.1502524301108
92,1,"Nitrogen","Abv",0.93,1.2978125,-28.3409583433662
92,1,"Potassium","Abv",0.91,0.8584375,6.00655260283947
92,1,"Magnesium","Abv",0.17,0.3021875,-43.7435367114788
92,1,"Calcium","Abv",0.64,1.108125,-42.2447828539199
92,1,"Nitrogen","Root.0.30cm",2.7,4.388125,-38.4703033755875
92,1,"Potassium","Root.0.30cm",1.8,1.6984375,5.97976080956762
92,1,"Magnesium","Root.0.30cm",0.77,0.9275,-16.9811320754717
92,1,"Calcium","Root.0.30cm",3.54,4.1471875,-14.6409464245347
93,4,"Nitrogen","Abv",4.2,1.2978125,223.621478449314
93,4,"Potassium","Abv",2.66,0.8584375,209.8653076083
93,4,"Magnesium","Abv",0.77,0.3021875,154.808686659772
93,4,"Calcium","Abv",3.57,1.108125,222.165820642978
93,4,"Nitrogen","Root.0.30cm",11.08,4.388125,152.499643925367
93,4,"Potassium","Root.0.30cm",4.2,1.6984375,147.286108555658
93,4,"Magnesium","Root.0.30cm",1.75,0.9275,88.6792452830189
93,4,"Calcium","Root.0.30cm",19.25,4.1471875,364.169994725341
94,1,"Nitrogen","Abv",2.07,1.2978125,59.4991572357332
94,1,"Potassium","Abv",0.57,0.8584375,-33.6002912267929
94,1,"Magnesium","Abv",0.28,0.3021875,-7.34229576008272
94,1,"Calcium","Abv",1.25,1.108125,12.8031584884377
94,1,"Nitrogen","Root.0.30cm",5.39,4.388125,22.8315054835494
94,1,"Potassium","Root.0.30cm",1.31,1.6984375,-22.8702851885925
94,1,"Magnesium","Root.0.30cm",0.75,0.9275,-19.1374663072776
94,1,"Calcium","Root.0.30cm",4.05,4.1471875,-2.34345565518801
98,8,"Nitrogen","Abv",2.01,1.2978125,54.8759932578858
98,8,"Potassium","Abv",2.23,0.8584375,159.77429923553
98,8,"Magnesium","Abv",0.47,0.3021875,55.5325749741468
98,8,"Calcium","Abv",1.44,1.108125,29.9492385786802
98,8,"Nitrogen","Root.0.30cm",7.51,4.388125,71.1437117219769
98,8,"Potassium","Root.0.30cm",5.2,1.6984375,206.163753449862
98,8,"Magnesium","Root.0.30cm",1.73,0.9275,86.5229110512129
98,8,"Calcium","Root.0.30cm",6.65,4.1471875,60.3496345414814
104,8,"Nitrogen","Abv",2.89,1.2978125,122.682398266314
104,8,"Potassium","Abv",2.23,0.8584375,159.77429923553
104,8,"Magnesium","Abv",0.54,0.3021875,78.6970010341262
104,8,"Calcium","Abv",2.37,1.108125,113.874788494078
104,8,"Nitrogen","Root.0.30cm",10.72,4.388125,144.295684375445
104,8,"Potassium","Root.0.30cm",5.2,1.6984375,206.163753449862
104,8,"Magnesium","Root.0.30cm",1.84,0.9275,98.3827493261456
104,8,"Calcium","Root.0.30cm",18.19,4.1471875,338.610504106699
107,16,"Nitrogen","Abv",3.03,1.2978125,133.469780881291
107,16,"Potassium","Abv",2.81,0.8584375,227.338915180197
107,16,"Magnesium","Abv",0.6,0.3021875,98.5522233712513
107,16,"Calcium","Abv",2.34,1.108125,111.167512690355
